customer_id,call_duration,monthly_data_usage,contract_length,churn
C00041,"[30, 56, 38, 51, 57, 2, 15, 11, 8, 26, 51, 45, 44, 5, 6, 26, 54, 4, 19, 20, 33, 20, 49, 12, 47, 1, 26, 14, 38, 37]",16.62,18,0
C00042,"[11, 36, 13, 43, 3, 33, 6, 50, 56, 10, 5, 23, 10, 44, 2, 13, 40, 2, 20, 1, 37, 9, 17, 9, 11, 15, 24, 38, 55, 35]",12.19,18,0
C00043,"[30, 31, 49, 5, 44, 50, 14, 53, 56, 11, 9, 34, 12, 35, 35, 1, 40, 22, 29, 8, 11, 41, 37, 14, 30, 35, 21, 37, 5, 19]",45.46,16,0
C00044,"[59, 14, 26, 4, 25, 45, 42, 25, 18, 40, 8, 39, 40, 14, 32, 51, 38, 33, 23, 15, 33, 25, 17, 33, 47, 55, 2, 14, 53, 40]",25.38,5,0
C00045,"[40, 51, 39, 51, 6, 6, 3, 7, 51, 8, 42, 52, 15, 47, 29, 33, 52, 30, 39, 27, 36, 29, 38, 57, 33, 37, 27, 55, 33, 4]",32.98,31,0
C00046,"[22, 2, 10, 5, 59, 10, 33, 54, 38, 13, 31, 47, 36, 45, 24, 52, 56, 15, 29, 8, 5, 29, 47, 4, 12, 45, 2, 27, 31, 51]",21.07,20,0
C00047,"[51, 36, 36, 26, 43, 27, 5, 20, 11, 10, 40, 38, 6, 8, 23, 47, 26, 46, 43, 12, 26, 13, 40, 18, 25, 33, 47, 40, 43, 12]",31.74,23,0
C00048,"[44, 36, 48, 4, 5, 56, 37, 8, 42, 49, 28, 31, 58, 9, 54, 51, 29, 14, 40, 41, 22, 11, 23, 1, 46, 37, 21, 26, 46, 36]",19.6,32,0
C00049,"[54, 23, 57, 1, 54, 55, 51, 40, 15, 21, 47, 9, 53, 9, 10, 52, 57, 53, 26, 41, 35, 52, 25, 26, 11, 38, 2, 7, 18, 27]",17.31,17,0
C00050,"[34, 27, 17, 43, 59, 44, 59, 51, 54, 24, 25, 7, 52, 6, 53, 24, 33, 49, 29, 43, 22, 26, 28, 50, 21, 49, 7, 17, 20, 41]",31.91,13,1
C00051,"[49, 20, 54, 22, 28, 40, 49, 7, 1, 32, 13, 30, 23, 51, 59, 56, 19, 32, 30, 29, 49, 45, 29, 30, 16, 40, 19, 18, 1, 14]",29.76,13,0
C00052,"[51, 47, 50, 2, 54, 28, 49, 50, 30, 38, 51, 4, 1, 8, 29, 55, 39, 3, 32, 10, 10, 19, 46, 34, 33, 23, 55, 28, 32, 50]",15.03,17,1
C00053,"[7, 29, 8, 1, 57, 55, 3, 24, 23, 59, 8, 54, 57, 47, 37, 3, 51, 33, 28, 47, 8, 34, 35, 32, 24, 14, 32, 56, 46, 43]",7.89,15,0
C00054,"[16, 4, 52, 37, 54, 21, 14, 31, 55, 48, 18, 7, 10, 7, 33, 23, 21, 19, 48, 19, 36, 29, 18, 2, 1, 47, 5, 20, 11, 42]",18.74,26,0
C00055,"[2, 3, 23, 55, 12, 20, 5, 37, 38, 30, 9, 34, 53, 44, 35, 52, 58, 22, 44, 24, 17, 10, 30, 56, 59, 46, 23, 32, 17, 50]",21.05,28,0
C00056,"[51, 17, 14, 9, 40, 2, 45, 25, 39, 9, 54, 22, 43, 46, 4, 26, 58, 29, 45, 34, 23, 37, 11, 6, 18, 21, 42, 36, 41, 38]",31.62,30,0
C00057,"[34, 17, 37, 25, 38, 58, 12, 23, 53, 42, 22, 21, 27, 57, 31, 6, 27, 40, 34, 12, 45, 57, 53, 7, 10, 45, 17, 26, 21, 28]",45.77,35,0
C00058,"[58, 46, 2, 54, 43, 1, 51, 53, 36, 51, 26, 29, 21, 11, 40, 11, 36, 49, 59, 39, 40, 35, 54, 34, 55, 47, 24, 54, 22, 5]",2.29,22,0
C00059,"[56, 33, 58, 36, 47, 20, 19, 35, 52, 43, 17, 59, 45, 43, 34, 9, 26, 2, 53, 9, 9, 40, 17, 1, 25, 43, 40, 42, 25, 39]",12.56,10,0
C00060,"[35, 3, 50, 37, 44, 44, 51, 30, 38, 34, 12, 19, 37, 44, 59, 59, 49, 17, 10, 57, 55, 49, 47, 12, 16, 24, 19, 8, 31, 21]",10.09,11,0
C00061,"[17, 23, 37, 54, 16, 6, 8, 25, 18, 25, 12, 15, 59, 26, 41, 45, 26, 47, 32, 10, 16, 7, 17, 23, 26, 21, 22, 58, 7, 14]",25.36,33,0
C00062,"[15, 53, 7, 9, 51, 48, 8, 50, 59, 23, 29, 18, 31, 30, 52, 39, 35, 18, 59, 42, 39, 17, 14, 31, 24, 35, 44, 45, 34, 3]",21.77,6,0
C00063,"[37, 43, 40, 26, 55, 23, 44, 39, 15, 56, 49, 4, 29, 22, 25, 13, 18, 33, 16, 45, 42, 44, 2, 55, 35, 42, 34, 30, 59, 55]",36.59,7,0
C00064,"[13, 13, 18, 32, 32, 35, 59, 39, 46, 52, 29, 49, 29, 53, 44, 57, 16, 56, 44, 47, 57, 10, 30, 25, 39, 20, 5, 1, 30, 49]",12.5,12,0
C00065,"[3, 45, 14, 56, 30, 50, 4, 18, 37, 25, 48, 1, 53, 46, 15, 9, 15, 49, 57, 24, 4, 12, 59, 58, 37, 37, 43, 6, 39, 56]",29.93,7,0
C00066,"[46, 24, 11, 13, 34, 25, 7, 52, 4, 59, 8, 20, 29, 54, 53, 51, 45, 46, 10, 43, 34, 57, 26, 41, 49, 58, 3, 56, 6, 5]",44.25,2,0
C00067,"[5, 54, 47, 23, 49, 9, 35, 20, 58, 49, 59, 42, 35, 50, 18, 17, 24, 3, 32, 35, 38, 13, 56, 47, 25, 9, 4, 14, 37, 34]",45.58,1,0
C00068,"[11, 41, 56, 3, 59, 28, 29, 9, 3, 25, 34, 12, 42, 9, 15, 40, 25, 5, 11, 59, 34, 24, 15, 38, 8, 59, 5, 48, 26, 18]",47.96,23,0
C00069,"[6, 37, 48, 13, 28, 5, 13, 17, 50, 40, 45, 32, 29, 51, 58, 3, 56, 40, 34, 40, 27, 13, 45, 33, 6, 24, 19, 16, 40, 28]",38.78,25,0
C00070,"[33, 59, 59, 48, 41, 13, 43, 45, 25, 53, 42, 36, 27, 38, 7, 5, 43, 45, 58, 57, 51, 31, 23, 42, 10, 32, 43, 53, 30, 39]",45.35,18,0
C00071,"[31, 18, 36, 2, 14, 13, 29, 12, 39, 2, 32, 13, 46, 27, 49, 41, 17, 40, 31, 34, 24, 45, 35, 48, 6, 19, 30, 7, 10, 41]",12.11,7,0
C00072,"[32, 34, 28, 15, 30, 37, 29, 22, 4, 20, 32, 36, 50, 4, 27, 17, 12, 22, 17, 10, 54, 1, 22, 26, 56, 59, 18, 50, 14, 47]",10.28,3,0
C00073,"[29, 12, 36, 59, 35, 52, 12, 7, 29, 11, 33, 6, 47, 15, 32, 51, 11, 58, 23, 26, 34, 46, 34, 29, 4, 17, 35, 13, 41, 39]",0.82,29,1
C00074,"[15, 55, 29, 29, 11, 52, 32, 2, 47, 14, 20, 22, 11, 27, 3, 17, 44, 56, 28, 29, 21, 47, 16, 37, 59, 20, 6, 19, 57, 5]",35.49,10,0
C00075,"[3, 59, 1, 58, 38, 15, 34, 35, 49, 25, 24, 12, 18, 15, 44, 16, 27, 8, 46, 25, 17, 29, 53, 8, 15, 27, 46, 50, 52, 7]",46.9,5,0
C00076,"[3, 29, 44, 53, 24, 58, 3, 20, 46, 15, 25, 30, 14, 7, 17, 44, 20, 36, 9, 38, 48, 57, 22, 54, 53, 53, 2, 24, 8, 11]",9.75,34,0
C00077,"[13, 17, 8, 21, 18, 30, 18, 46, 47, 31, 38, 32, 11, 45, 25, 33, 38, 41, 8, 11, 22, 51, 24, 41, 17, 12, 57, 46, 32, 15]",32.03,8,0
C00078,"[16, 54, 22, 28, 20, 33, 10, 40, 32, 50, 33, 2, 33, 33, 41, 13, 30, 33, 13, 52, 26, 22, 39, 2, 38, 39, 26, 46, 58, 50]",37.45,14,0
C00079,"[15, 34, 42, 55, 44, 49, 40, 11, 3, 59, 6, 9, 6, 9, 39, 31, 32, 41, 50, 12, 8, 8, 50, 28, 20, 47, 59, 7, 11, 20]",46.42,6,0
C00080,"[16, 4, 6, 58, 22, 26, 3, 41, 42, 14, 11, 18, 54, 12, 23, 12, 13, 25, 45, 51, 58, 19, 55, 46, 36, 45, 8, 29, 55, 53]",32.52,1,0
C00081,"[55, 32, 51, 44, 18, 6, 18, 19, 22, 37, 32, 56, 41, 59, 3, 28, 10, 51, 35, 29, 54, 15, 33, 7, 12, 49, 30, 21, 31, 58]",48.53,33,0
C00082,"[24, 20, 37, 4, 28, 44, 20, 24, 50, 49, 51, 32, 41, 36, 58, 53, 34, 36, 2, 15, 34, 36, 6, 39, 42, 51, 51, 58, 54, 12]",17.56,11,0
C00083,"[3, 45, 18, 40, 21, 15, 33, 35, 26, 8, 36, 48, 30, 23, 42, 44, 14, 14, 2, 55, 37, 5, 38, 45, 41, 54, 47, 14, 56, 39]",17.82,24,0
C00084,"[25, 20, 2, 39, 6, 17, 59, 25, 57, 28, 2, 35, 37, 5, 1, 40, 12, 56, 36, 45, 23, 47, 31, 11, 10, 3, 54, 14, 16, 10]",27.38,10,0
C00085,"[29, 10, 12, 30, 41, 1, 5, 20, 8, 43, 12, 1, 57, 54, 20, 28, 57, 43, 37, 47, 37, 12, 37, 49, 49, 56, 44, 56, 28, 47]",19.48,23,0
C00086,"[15, 6, 44, 59, 20, 50, 14, 2, 9, 37, 20, 26, 29, 1, 55, 35, 6, 37, 53, 59, 5, 33, 49, 51, 14, 12, 42, 20, 53, 50]",0.57,16,0
C00087,"[24, 59, 43, 34, 25, 50, 29, 57, 39, 31, 56, 47, 43, 50, 23, 44, 38, 20, 23, 45, 52, 16, 50, 42, 55, 8, 50, 21, 1, 55]",36.72,16,0
C00088,"[8, 29, 32, 38, 5, 47, 22, 47, 34, 1, 55, 55, 26, 43, 10, 30, 50, 18, 17, 26, 8, 47, 40, 49, 12, 27, 8, 25, 46, 4]",37.71,31,0
C00089,"[33, 1, 19, 31, 16, 14, 53, 48, 5, 41, 26, 28, 2, 50, 6, 9, 33, 41, 25, 48, 13, 9, 53, 13, 31, 41, 11, 4, 34, 38]",37.48,6,0
C00090,"[46, 4, 38, 19, 6, 34, 18, 13, 41, 23, 19, 45, 11, 1, 24, 54, 7, 25, 21, 15, 1, 12, 58, 7, 15, 21, 19, 29, 25, 33]",17.58,30,0
C00091,"[49, 32, 49, 35, 44, 38, 26, 11, 35, 8, 46, 14, 10, 2, 46, 9, 3, 21, 26, 8, 48, 2, 6, 28, 53, 29, 26, 25, 12, 5]",26.35,1,0
C00092,"[34, 48, 37, 15, 44, 36, 15, 43, 48, 23, 6, 46, 50, 44, 59, 43, 45, 21, 23, 43, 55, 16, 47, 53, 15, 25, 36, 11, 51, 15]",18.32,25,0
C00093,"[4, 21, 13, 22, 19, 34, 14, 4, 48, 53, 52, 46, 27, 29, 47, 28, 35, 8, 16, 42, 36, 30, 18, 2, 49, 13, 4, 26, 25, 30]",1.29,21,0
C00094,"[11, 7, 31, 44, 10, 39, 13, 31, 7, 56, 49, 42, 42, 56, 36, 20, 4, 54, 7, 54, 1, 44, 56, 45, 42, 47, 59, 13, 55, 22]",28.34,35,0
C00095,"[54, 21, 22, 28, 9, 26, 9, 15, 10, 24, 58, 57, 42, 8, 24, 16, 49, 26, 27, 37, 4, 50, 24, 19, 36, 39, 10, 25, 18, 19]",6.63,5,0
C00096,"[36, 10, 33, 55, 50, 5, 47, 49, 35, 44, 34, 33, 55, 21, 17, 22, 48, 37, 15, 35, 28, 7, 32, 11, 10, 9, 14, 13, 57, 25]",4.46,12,0
C00097,"[2, 35, 7, 21, 18, 3, 42, 54, 39, 41, 49, 11, 39, 24, 46, 19, 4, 26, 38, 42, 32, 39, 45, 46, 36, 40, 37, 33, 36, 3]",37.9,5,0
C00098,"[9, 8, 33, 59, 6, 41, 39, 4, 13, 49, 2, 5, 44, 27, 32, 21, 8, 38, 8, 50, 3, 54, 44, 58, 3, 22, 6, 2, 23, 44]",0.97,9,0
C00099,"[2, 38, 17, 35, 34, 23, 30, 52, 8, 22, 44, 58, 36, 5, 13, 29, 31, 47, 57, 55, 16, 42, 30, 57, 55, 16, 12, 17, 16, 12]",47.97,9,0
C00100,"[8, 20, 3, 16, 30, 45, 23, 28, 51, 40, 54, 5, 20, 40, 56, 44, 1, 57, 30, 21, 20, 6, 22, 18, 8, 39, 32, 33, 53, 16]",26.01,35,0
C00101,"[12, 38, 52, 34, 14, 36, 33, 23, 50, 45, 2, 41, 21, 2, 27, 57, 9, 1, 11, 3, 52, 23, 26, 4, 18, 55, 6, 35, 22, 43]",49.16,1,0
C00102,"[15, 22, 37, 52, 42, 12, 47, 49, 42, 38, 18, 45, 35, 30, 24, 42, 30, 14, 6, 3, 16, 7, 52, 14, 9, 15, 21, 35, 2, 27]",3.37,10,0
C00103,"[2, 35, 18, 14, 20, 18, 10, 25, 2, 25, 54, 33, 36, 31, 14, 1, 46, 16, 54, 46, 52, 3, 35, 41, 6, 25, 13, 53, 34, 8]",29.38,35,0
C00104,"[21, 34, 4, 25, 15, 4, 45, 12, 32, 32, 28, 13, 31, 14, 20, 18, 29, 6, 32, 29, 43, 2, 23, 19, 31, 51, 5, 19, 34, 10]",17.79,17,0
C00105,"[25, 2, 11, 50, 31, 56, 15, 9, 23, 19, 9, 35, 21, 9, 28, 46, 51, 7, 16, 16, 33, 4, 4, 39, 40, 17, 37, 39, 52, 29]",42.25,13,0
C00106,"[52, 36, 38, 39, 50, 37, 52, 35, 7, 27, 28, 22, 14, 7, 37, 22, 5, 55, 2, 27, 21, 54, 38, 15, 21, 10, 23, 58, 56, 39]",18.38,6,0
C00107,"[5, 1, 13, 21, 26, 50, 45, 21, 53, 18, 37, 45, 32, 36, 17, 35, 49, 11, 21, 52, 55, 53, 26, 4, 34, 52, 48, 18, 40, 35]",13.39,32,0
C00108,"[41, 29, 52, 29, 38, 42, 21, 42, 13, 49, 41, 17, 56, 9, 41, 1, 2, 48, 29, 33, 10, 50, 58, 40, 21, 28, 11, 55, 34, 8]",42.95,11,0
C00109,"[59, 22, 8, 49, 15, 17, 23, 24, 45, 19, 5, 32, 44, 1, 23, 37, 8, 13, 8, 57, 23, 43, 1, 45, 51, 24, 35, 24, 17, 5]",19.05,17,0
C00110,"[20, 21, 40, 58, 31, 46, 36, 11, 52, 15, 19, 7, 51, 28, 51, 43, 58, 5, 5, 30, 54, 32, 8, 10, 38, 47, 32, 48, 28, 17]",1.33,5,0
C00111,"[31, 8, 40, 25, 9, 2, 15, 50, 3, 49, 36, 4, 14, 41, 41, 25, 58, 55, 50, 10, 21, 36, 12, 27, 40, 2, 54, 13, 53, 32]",19.82,6,0
C00112,"[31, 16, 32, 32, 34, 11, 10, 15, 17, 40, 18, 55, 9, 25, 40, 59, 14, 58, 25, 50, 22, 52, 30, 20, 21, 44, 32, 51, 46, 49]",32.9,10,0
C00113,"[56, 21, 35, 58, 32, 30, 55, 39, 49, 12, 41, 47, 18, 21, 13, 21, 8, 46, 40, 46, 7, 23, 44, 32, 11, 22, 22, 43, 25, 22]",13.09,33,1
C00114,"[28, 29, 13, 18, 2, 29, 21, 15, 52, 27, 50, 31, 15, 51, 23, 24, 44, 13, 22, 43, 37, 33, 56, 3, 54, 19, 23, 29, 30, 39]",21.88,30,0
C00115,"[44, 47, 25, 37, 47, 8, 42, 58, 16, 8, 1, 44, 5, 3, 1, 4, 40, 35, 32, 42, 34, 43, 25, 10, 21, 46, 39, 27, 27, 2]",3.31,21,0
C00116,"[41, 48, 13, 9, 52, 36, 22, 42, 26, 58, 54, 12, 17, 14, 14, 57, 34, 53, 57, 20, 11, 16, 51, 31, 55, 6, 56, 19, 37, 58]",29.61,17,0
C00117,"[4, 47, 4, 20, 10, 24, 54, 35, 26, 37, 38, 21, 54, 40, 39, 21, 10, 38, 46, 4, 57, 45, 20, 17, 55, 7, 4, 29, 14, 3]",37.94,27,0
C00118,"[24, 37, 16, 58, 55, 52, 4, 56, 24, 34, 30, 18, 19, 31, 19, 49, 46, 19, 22, 24, 45, 12, 30, 58, 38, 53, 31, 36, 19, 48]",20.96,3,0
C00119,"[45, 36, 30, 55, 49, 55, 33, 18, 52, 49, 59, 28, 59, 47, 11, 57, 54, 45, 33, 17, 6, 4, 20, 48, 47, 27, 15, 6, 47, 14]",21.3,29,0
C00120,"[11, 39, 9, 26, 16, 5, 57, 52, 10, 50, 3, 13, 43, 49, 30, 54, 45, 6, 17, 59, 45, 51, 53, 19, 42, 35, 46, 26, 51, 5]",4.87,2,0
C00121,"[29, 37, 20, 49, 21, 10, 5, 36, 6, 26, 4, 39, 39, 50, 35, 1, 24, 57, 36, 6, 41, 54, 46, 44, 57, 31, 20, 24, 25, 36]",10.5,29,0
C00122,"[21, 30, 24, 44, 42, 30, 22, 28, 7, 35, 55, 28, 14, 56, 10, 16, 16, 54, 31, 42, 25, 13, 6, 44, 9, 45, 36, 56, 43, 20]",8.16,34,0
C00123,"[18, 58, 43, 57, 21, 4, 50, 33, 27, 7, 6, 15, 18, 32, 56, 11, 20, 24, 15, 48, 7, 21, 42, 26, 44, 56, 14, 57, 37, 58]",24.34,1,0
C00124,"[21, 18, 5, 3, 23, 26, 37, 24, 49, 19, 51, 25, 21, 12, 57, 41, 33, 50, 53, 4, 42, 57, 7, 22, 55, 33, 17, 24, 34, 28]",26.7,26,0
C00125,"[58, 43, 41, 39, 22, 49, 17, 34, 6, 46, 6, 34, 1, 10, 21, 5, 2, 22, 48, 57, 2, 10, 34, 16, 48, 51, 39, 22, 12, 24]",47.47,1,0
C00126,"[47, 40, 38, 59, 10, 35, 51, 49, 32, 7, 21, 20, 26, 4, 46, 52, 22, 15, 56, 40, 21, 15, 22, 52, 28, 14, 27, 41, 40, 58]",4.12,4,0
C00127,"[28, 26, 49, 2, 25, 56, 3, 8, 44, 33, 42, 52, 35, 6, 39, 52, 23, 25, 59, 50, 43, 19, 5, 51, 11, 56, 12, 10, 8, 24]",30.19,14,0
C00128,"[28, 41, 36, 37, 21, 8, 55, 9, 47, 15, 48, 46, 40, 18, 42, 20, 6, 12, 2, 7, 16, 3, 45, 3, 27, 50, 43, 40, 38, 33]",26.56,18,0
C00129,"[28, 1, 55, 8, 37, 32, 48, 43, 37, 4, 30, 6, 46, 54, 19, 32, 9, 12, 11, 46, 55, 16, 1, 45, 55, 53, 21, 30, 13, 34]",26.05,34,0
C00130,"[4, 28, 38, 58, 31, 59, 55, 27, 5, 25, 3, 33, 4, 25, 20, 34, 26, 5, 35, 28, 29, 9, 52, 38, 50, 6, 19, 44, 57, 11]",43.72,1,1
C00131,"[2, 47, 44, 44, 9, 21, 24, 34, 22, 3, 12, 28, 30, 26, 48, 21, 28, 56, 26, 33, 21, 35, 52, 34, 41, 51, 47, 18, 58, 11]",10.67,22,0
C00132,"[57, 23, 48, 22, 17, 5, 44, 11, 30, 15, 27, 35, 33, 20, 16, 34, 2, 35, 40, 56, 28, 47, 39, 6, 9, 20, 1, 8, 55, 23]",2.52,16,0
C00133,"[3, 4, 58, 25, 47, 38, 15, 21, 35, 57, 53, 53, 46, 52, 14, 36, 12, 17, 39, 9, 35, 13, 15, 18, 51, 33, 6, 59, 27, 23]",33.78,22,0
